,RunId,iteration,Step,width,height,cooperation_reward,defected_reward,defection_reward,mutual_defection_reward,Is Alive,Cooperating,Defecting,Proportion,Altruism
64,64,0,25,10,10,0.25,0.0,0.0,0.0,100,100,0,100.0,450.0
65,65,0,25,10,10,0.25,0.0,0.0,0.25,59,8,51,13.559322033898304,34.5
66,66,0,25,10,10,0.25,0.0,0.0,0.5,100,0,100,0.0,0.0
67,67,0,25,10,10,0.25,0.0,0.0,0.75,100,0,100,0.0,0.0
68,68,0,25,10,10,0.25,0.0,0.25,0.0,100,100,0,100.0,450.0
69,69,0,25,10,10,0.25,0.0,0.25,0.25,100,0,100,0.0,0.0
70,70,0,25,10,10,0.25,0.0,0.25,0.5,100,0,100,0.0,0.0
71,71,0,25,10,10,0.25,0.0,0.25,0.75,100,0,100,0.0,0.0
72,72,0,25,10,10,0.25,0.0,0.5,0.0,48,0,48,0.0,0.0
73,73,0,25,10,10,0.25,0.0,0.5,0.25,100,0,100,0.0,0.0
74,74,0,25,10,10,0.25,0.0,0.5,0.5,100,0,100,0.0,0.0
75,75,0,25,10,10,0.25,0.0,0.5,0.75,100,0,100,0.0,0.0
76,76,0,25,10,10,0.25,0.0,0.75,0.0,52,0,52,0.0,0.0
77,77,0,25,10,10,0.25,0.0,0.75,0.25,100,0,100,0.0,0.0
78,78,0,25,10,10,0.25,0.0,0.75,0.5,100,0,100,0.0,0.0
79,79,0,25,10,10,0.25,0.0,0.75,0.75,100,0,100,0.0,0.0
80,80,0,25,10,10,0.25,0.25,0.0,0.0,100,100,0,100.0,450.0
81,81,0,25,10,10,0.25,0.25,0.0,0.25,100,100,0,100.0,450.0
82,82,0,25,10,10,0.25,0.25,0.0,0.5,100,0,100,0.0,0.0
83,83,0,25,10,10,0.25,0.25,0.0,0.75,100,0,100,0.0,0.0
84,84,0,25,10,10,0.25,0.25,0.25,0.0,100,100,0,100.0,450.0
85,85,0,25,10,10,0.25,0.25,0.25,0.25,100,0,100,0.0,0.0
86,86,0,25,10,10,0.25,0.25,0.25,0.5,100,0,100,0.0,0.0
87,87,0,25,10,10,0.25,0.25,0.25,0.75,100,0,100,0.0,0.0
88,88,0,25,10,10,0.25,0.25,0.5,0.0,98,98,0,100.0,441.0
89,89,0,25,10,10,0.25,0.25,0.5,0.25,100,0,100,0.0,0.0
90,90,0,25,10,10,0.25,0.25,0.5,0.5,100,0,100,0.0,0.0
91,91,0,25,10,10,0.25,0.25,0.5,0.75,100,0,100,0.0,0.0
92,92,0,25,10,10,0.25,0.25,0.75,0.0,41,0,41,0.0,0.0
93,93,0,25,10,10,0.25,0.25,0.75,0.25,100,0,100,0.0,0.0
94,94,0,25,10,10,0.25,0.25,0.75,0.5,100,0,100,0.0,0.0
95,95,0,25,10,10,0.25,0.25,0.75,0.75,100,0,100,0.0,0.0
96,96,0,25,10,10,0.25,0.5,0.0,0.0,100,100,0,100.0,450.0
97,97,0,25,10,10,0.25,0.5,0.0,0.25,100,100,0,100.0,450.0
98,98,0,25,10,10,0.25,0.5,0.0,0.5,64,2,62,3.125,3.5
99,99,0,25,10,10,0.25,0.5,0.0,0.75,100,0,100,0.0,0.0
100,100,0,25,10,10,0.25,0.5,0.25,0.0,100,100,0,100.0,450.0
101,101,0,25,10,10,0.25,0.5,0.25,0.25,100,100,0,100.0,450.0
102,102,0,25,10,10,0.25,0.5,0.25,0.5,100,0,100,0.0,0.0
103,103,0,25,10,10,0.25,0.5,0.25,0.75,100,0,100,0.0,0.0
104,104,0,25,10,10,0.25,0.5,0.5,0.0,97,97,0,100.0,436.5
105,105,0,25,10,10,0.25,0.5,0.5,0.25,99,73,26,73.73737373737373,277.5
106,106,0,25,10,10,0.25,0.5,0.5,0.5,100,0,100,0.0,0.0
107,107,0,25,10,10,0.25,0.5,0.5,0.75,100,0,100,0.0,0.0
108,108,0,25,10,10,0.25,0.5,0.75,0.0,97,97,0,100.0,436.5
109,109,0,25,10,10,0.25,0.5,0.75,0.25,100,0,100,0.0,0.0
110,110,0,25,10,10,0.25,0.5,0.75,0.5,100,0,100,0.0,0.0
111,111,0,25,10,10,0.25,0.5,0.75,0.75,100,0,100,0.0,0.0
112,112,0,25,10,10,0.25,0.75,0.0,0.0,100,100,0,100.0,450.0
113,113,0,25,10,10,0.25,0.75,0.0,0.25,100,100,0,100.0,450.0
114,114,0,25,10,10,0.25,0.75,0.0,0.5,100,100,0,100.0,450.0
115,115,0,25,10,10,0.25,0.75,0.0,0.75,99,0,99,0.0,0.0
116,116,0,25,10,10,0.25,0.75,0.25,0.0,100,100,0,100.0,450.0
117,117,0,25,10,10,0.25,0.75,0.25,0.25,100,100,0,100.0,450.0
118,118,0,25,10,10,0.25,0.75,0.25,0.5,100,100,0,100.0,450.0
119,119,0,25,10,10,0.25,0.75,0.25,0.75,100,0,100,0.0,0.0
120,120,0,25,10,10,0.25,0.75,0.5,0.0,100,100,0,100.0,450.0
121,121,0,25,10,10,0.25,0.75,0.5,0.25,100,100,0,100.0,450.0
122,122,0,25,10,10,0.25,0.75,0.5,0.5,99,34,65,34.34343434343434,106.5
123,123,0,25,10,10,0.25,0.75,0.5,0.75,100,0,100,0.0,0.0
124,124,0,25,10,10,0.25,0.75,0.75,0.0,100,100,0,100.0,450.0
125,125,0,25,10,10,0.25,0.75,0.75,0.25,93,30,63,32.25806451612903,80.5
126,126,0,25,10,10,0.25,0.75,0.75,0.5,100,0,100,0.0,0.0
127,127,0,25,10,10,0.25,0.75,0.75,0.75,100,0,100,0.0,0.0
128,128,0,25,10,10,0.5,0.0,0.0,0.0,100,100,0,100.0,450.0
129,129,0,25,10,10,0.5,0.0,0.0,0.25,100,100,0,100.0,450.0
130,130,0,25,10,10,0.5,0.0,0.0,0.5,76,72,4,94.73684210526315,321.0
131,131,0,25,10,10,0.5,0.0,0.0,0.75,100,0,100,0.0,0.0
132,132,0,25,10,10,0.5,0.0,0.25,0.0,100,100,0,100.0,450.0
133,133,0,25,10,10,0.5,0.0,0.25,0.25,100,100,0,100.0,450.0
134,134,0,25,10,10,0.5,0.0,0.25,0.5,83,2,81,2.4096385542168677,9.0
135,135,0,25,10,10,0.5,0.0,0.25,0.75,100,0,100,0.0,0.0
136,136,0,25,10,10,0.5,0.0,0.5,0.0,86,86,0,100.0,387.0
137,137,0,25,10,10,0.5,0.0,0.5,0.25,73,72,1,98.63013698630137,322.5
138,138,0,25,10,10,0.5,0.0,0.5,0.5,100,0,100,0.0,0.0
139,139,0,25,10,10,0.5,0.0,0.5,0.75,100,0,100,0.0,0.0
140,140,0,25,10,10,0.5,0.0,0.75,0.0,100,100,0,100.0,450.0
141,141,0,25,10,10,0.5,0.0,0.75,0.25,100,0,100,0.0,0.0
142,142,0,25,10,10,0.5,0.0,0.75,0.5,100,0,100,0.0,0.0
143,143,0,25,10,10,0.5,0.0,0.75,0.75,100,0,100,0.0,0.0
144,144,0,25,10,10,0.5,0.25,0.0,0.0,100,100,0,100.0,450.0
145,145,0,25,10,10,0.5,0.25,0.0,0.25,100,100,0,100.0,450.0
146,146,0,25,10,10,0.5,0.25,0.0,0.5,96,96,0,100.0,432.0
147,147,0,25,10,10,0.5,0.25,0.0,0.75,50,0,50,0.0,0.0
148,148,0,25,10,10,0.5,0.25,0.25,0.0,100,100,0,100.0,450.0
149,149,0,25,10,10,0.5,0.25,0.25,0.25,100,100,0,100.0,450.0
150,150,0,25,10,10,0.5,0.25,0.25,0.5,68,15,53,22.058823529411764,66.5
151,151,0,25,10,10,0.5,0.25,0.25,0.75,100,0,100,0.0,0.0
152,152,0,25,10,10,0.5,0.25,0.5,0.0,100,100,0,100.0,450.0
153,153,0,25,10,10,0.5,0.25,0.5,0.25,100,100,0,100.0,450.0
154,154,0,25,10,10,0.5,0.25,0.5,0.5,100,0,100,0.0,0.0
155,155,0,25,10,10,0.5,0.25,0.5,0.75,100,0,100,0.0,0.0
156,156,0,25,10,10,0.5,0.25,0.75,0.0,100,100,0,100.0,450.0
157,157,0,25,10,10,0.5,0.25,0.75,0.25,100,0,100,0.0,0.0
158,158,0,25,10,10,0.5,0.25,0.75,0.5,100,0,100,0.0,0.0
159,159,0,25,10,10,0.5,0.25,0.75,0.75,100,0,100,0.0,0.0
160,160,0,25,10,10,0.5,0.5,0.0,0.0,100,100,0,100.0,450.0
161,161,0,25,10,10,0.5,0.5,0.0,0.25,100,100,0,100.0,450.0
162,162,0,25,10,10,0.5,0.5,0.0,0.5,100,100,0,100.0,450.0
163,163,0,25,10,10,0.5,0.5,0.0,0.75,100,100,0,100.0,450.0
164,164,0,25,10,10,0.5,0.5,0.25,0.0,100,100,0,100.0,450.0
165,165,0,25,10,10,0.5,0.5,0.25,0.25,100,100,0,100.0,450.0
166,166,0,25,10,10,0.5,0.5,0.25,0.5,100,100,0,100.0,450.0
167,167,0,25,10,10,0.5,0.5,0.25,0.75,100,0,100,0.0,0.0
168,168,0,25,10,10,0.5,0.5,0.5,0.0,100,100,0,100.0,450.0
169,169,0,25,10,10,0.5,0.5,0.5,0.25,100,100,0,100.0,450.0
170,170,0,25,10,10,0.5,0.5,0.5,0.5,100,0,100,0.0,0.0
171,171,0,25,10,10,0.5,0.5,0.5,0.75,100,0,100,0.0,0.0
172,172,0,25,10,10,0.5,0.5,0.75,0.0,99,99,0,100.0,445.5
173,173,0,25,10,10,0.5,0.5,0.75,0.25,100,100,0,100.0,450.0
174,174,0,25,10,10,0.5,0.5,0.75,0.5,100,0,100,0.0,0.0
175,175,0,25,10,10,0.5,0.5,0.75,0.75,100,0,100,0.0,0.0
176,176,0,25,10,10,0.5,0.75,0.0,0.0,100,100,0,100.0,450.0
177,177,0,25,10,10,0.5,0.75,0.0,0.25,100,100,0,100.0,450.0
178,178,0,25,10,10,0.5,0.75,0.0,0.5,100,100,0,100.0,450.0
179,179,0,25,10,10,0.5,0.75,0.0,0.75,100,100,0,100.0,450.0
180,180,0,25,10,10,0.5,0.75,0.25,0.0,100,100,0,100.0,450.0
181,181,0,25,10,10,0.5,0.75,0.25,0.25,100,100,0,100.0,450.0
182,182,0,25,10,10,0.5,0.75,0.25,0.5,100,100,0,100.0,450.0
183,183,0,25,10,10,0.5,0.75,0.25,0.75,100,100,0,100.0,450.0
184,184,0,25,10,10,0.5,0.75,0.5,0.0,100,100,0,100.0,450.0
185,185,0,25,10,10,0.5,0.75,0.5,0.25,100,100,0,100.0,450.0
186,186,0,25,10,10,0.5,0.75,0.5,0.5,100,100,0,100.0,450.0
187,187,0,25,10,10,0.5,0.75,0.5,0.75,100,0,100,0.0,0.0
188,188,0,25,10,10,0.5,0.75,0.75,0.0,100,100,0,100.0,450.0
189,189,0,25,10,10,0.5,0.75,0.75,0.25,100,100,0,100.0,450.0
190,190,0,25,10,10,0.5,0.75,0.75,0.5,100,64,36,64.0,234.0
191,191,0,25,10,10,0.5,0.75,0.75,0.75,100,0,100,0.0,0.0
192,192,0,25,10,10,0.75,0.0,0.0,0.0,100,100,0,100.0,450.0
193,193,0,25,10,10,0.75,0.0,0.0,0.25,100,100,0,100.0,450.0
194,194,0,25,10,10,0.75,0.0,0.0,0.5,99,99,0,100.0,445.5
195,195,0,25,10,10,0.75,0.0,0.0,0.75,75,2,73,2.666666666666667,9.0
196,196,0,25,10,10,0.75,0.0,0.25,0.0,100,100,0,100.0,450.0
197,197,0,25,10,10,0.75,0.0,0.25,0.25,100,100,0,100.0,450.0
198,198,0,25,10,10,0.75,0.0,0.25,0.5,80,80,0,100.0,360.0
199,199,0,25,10,10,0.75,0.0,0.25,0.75,80,1,79,1.25,4.5
